"ID","SID","city","state"
618,8,"Ernakulam","Kerala"
619,8,"Kottayam","Kerala"
620,8,"Thrissur","Kerala"
621,8,"Idukki","Kerala"
622,8,"Thrissur","Kerala"
623,8,"Kannur","Kerala"
624,8,"Kannur","Kerala"
625,8,"Wayanad","Kerala"
626,8,"Kasaragod","Kerala"
627,8,"Alappuzha","Kerala"
628,8,"Kannur","Kerala"
629,8,"Kasaragod","Kerala"
630,8,"Alappuzha","Kerala"
631,8,"Ernakulam","Kerala"
632,8,"Thrissur","Kerala"
633,8,"Kollam","Kerala"
634,8,"Kannur","Kerala"
635,8,"Ernakulam","Kerala"
636,8,"Kottayam","Kerala"
637,8,"Kozhikode","Kerala"
638,8,"Thrissur","Kerala"
639,8,"Mahe","Puducherry"
640,8,"Malappuram","Kerala"
641,8,"Kannur","Kerala"
642,8,"Alappuzha","Kerala"
643,8,"Kozhikode","Kerala"
644,8,"Ernakulam","Kerala"
645,8,"Thiruvananthapuram","Kerala"
646,8,"Thiruvananthapuram","Kerala"
647,8,"Malappuram","Kerala"
648,8,"Palakkad","Kerala"
649,8,"Kottayam","Kerala"
650,8,"Palakkad","Kerala"
651,8,"Kottayam","Kerala"
652,8,"Kannur","Kerala"
653,8,"Kannur","Kerala"
654,8,"Kollam","Kerala"
655,8,"Pathanamthitta","Kerala"
656,8,"Kannur","Kerala"
657,8,"Malappuram","Kerala"
658,8,"Ernakulam","Kerala"
659,8,"Kottayam","Kerala"
660,8,"Malappuram","Kerala"
661,8,"Kollam","Kerala"
662,8,"Kottayam","Kerala"
663,8,"Thrissur","Kerala"
664,8,"Wayanad","Kerala"
665,19,"Lakshadweep",
666,19,,"Lakshadweep"
667,26,"Jhabua","Madhya Pradesh"
668,26,"Anuppur","Madhya Pradesh"
669,26,"Ashoknagar","Madhya Pradesh"
670,26,"Tikamgarh","Madhya Pradesh"
671,26,"Balaghat","Madhya Pradesh"
672,26,"Barwani","Madhya Pradesh"
673,26,"Betul","Madhya Pradesh"
674,26,"Bhind","Madhya Pradesh"
675,26,"Bhopal","Madhya Pradesh"
676,26,"Burhanpur","Madhya Pradesh"
677,26,"Chhatarpur","Madhya Pradesh"
678,26,"Chhindwara","Madhya Pradesh"
679,26,"Satna","Madhya Pradesh"
680,26,"Gwalior","Madhya Pradesh"
681,26,"Damoh","Madhya Pradesh"
682,26,"Datia","Madhya Pradesh"
683,26,"Dewas","Madhya Pradesh"
684,26,"Dhar","Madhya Pradesh"
685,26,"Dindori","Madhya Pradesh"
686,26,,"Madhya Pradesh"
687,26,"Guna","Madhya Pradesh"
688,26,"Gwalior","Madhya Pradesh"
689,26,"Harda","Madhya Pradesh"
690,26,"Hoshangabad","Madhya Pradesh"
691,26,"Indore","Madhya Pradesh"
692,26,"Jabalpur","Madhya Pradesh"
693,26,"Jhabua","Madhya Pradesh"
694,26,"Morena","Madhya Pradesh"
695,26,"Katni","Madhya Pradesh"
696,26,"Khandwa","Madhya Pradesh"
697,26,"Khargone","Madhya Pradesh"
698,26,"Sagar","Madhya Pradesh"
699,26,"Anuppur","Madhya Pradesh"
700,26,"Bhind","Madhya Pradesh"
702,26,"Chhatarpur","Madhya Pradesh"
703,26,"Ashoknagar","Madhya Pradesh"
704,26,"Satna","Madhya Pradesh"
705,26,"Balaghat","Madhya Pradesh"
706,26,"Mandla","Madhya Pradesh"
707,26,"Neemuch","Madhya Pradesh"
708,26,"Dhar","Madhya Pradesh"
709,26,"Raisen","Madhya Pradesh"
710,26,"Mandla","Madhya Pradesh"
711,26,"Mandsaur","Madhya Pradesh"
712,26,"Rewa","Madhya Pradesh"
713,26,"Indore","Madhya Pradesh"
714,26,"Indore","Madhya Pradesh"
715,26,"Morena","Madhya Pradesh"
716,26,"Betul","Madhya Pradesh"
717,26,"Katni","Madhya Pradesh"
718,26,"Ujjain","Madhya Pradesh"
719,26,"Mandla","Madhya Pradesh"
720,26,"Rajgarh","Madhya Pradesh"
721,26,"Rajgarh","Madhya Pradesh"
722,26,"Narsinghpur","Madhya Pradesh"
723,26,"Neemuch","Madhya Pradesh"
724,26,"Khandwa","Madhya Pradesh"
725,26,"Tikamgarh","Madhya Pradesh"
726,26,"Chhatarpur","Madhya Pradesh"
727,26,"Umaria","Madhya Pradesh"
728,26,"Rajgarh","Madhya Pradesh"
729,26,"Umaria","Madhya Pradesh"
730,26,"Jabalpur","Madhya Pradesh"
731,26,"Chhindwara","Madhya Pradesh"
732,26,"Panna","Madhya Pradesh"
733,26,"Anuppur","Madhya Pradesh"
734,26,"Hoshangabad","Madhya Pradesh"
735,26,,"Madhya Pradesh"
736,26,"Morena","Madhya Pradesh"
737,26,"Tikamgarh","Madhya Pradesh"
738,26,"Raisen","Madhya Pradesh"
739,26,"Rajgarh","Madhya Pradesh"
740,26,"Ratlam","Madhya Pradesh"
741,26,"Rewa","Madhya Pradesh"
742,26,"Sagar","Madhya Pradesh"
743,26,"Satna","Madhya Pradesh"
744,26,"Sehore","Madhya Pradesh"
745,26,"Seoni","Madhya Pradesh"
746,26,"Shahdol","Madhya Pradesh"
747,26,"Shajapur","Madhya Pradesh"
748,26,"Sheopur","Madhya Pradesh"
749,26,"Shivpuri","Madhya Pradesh"
750,26,"Sidhi","Madhya Pradesh"
751,26,"Singrauli","Madhya Pradesh"
752,26,"Tikamgarh","Madhya Pradesh"
753,26,"Ujjain","Madhya Pradesh"
