Candidate,Criminal Cases,Education,ID,Party,Total Assets,Total Liabilities,ConstituencyID
Kamlesh Paswan,0,Graduate,9219,BJP,101640625,14568500,469
Kunjawati,0,Graduate,9522,IND,1249585,0,469
Lalchand Prasad,0,Doctorate,9521,Ambedkar Samaj Party,482718,0,469
Ram Naresh,1,Literate,9519,Indian Savarn Samaj Party,122650,0,469
Ramnivas Paswan,0,Post Graduate,9221,AAP,1235967,0,469
Ramprit,0,10th Pass,9520,Bahujan Mukti Party,7359921,81700,469
Sadal Prasad,0,Post Graduate,9516,BSP,14638542,4371964,469
Sanjay Kumar,0,Post Graduate,9222,INC,18180208,4089839,469
Sheo Shankar,0,Graduate Professional,9523,IND,5668318,0,469
Arjun Prasad Singh,0,Post Graduate,4171,AJSU Party,35193984,0,158
Arun Marandi,0,Graduate,4744,BSP,365700,0,158
Barnard Hembrom,0,12th Pass,4745,Rashtriya Krantikari Samajwadi Party,8001008,0,158
Dr. Anil Murmu,1,Post Graduate,4168,JVM(P),2986472,328617,158
Hemlal Murmu,0,Graduate,4169,BJP,41894447,13010487,158
Jyotin Soren,1,Graduate,4173,CPI(M),1901675,90000,158
Krishna Singh,0,12th Pass,4174,IUML,680000,2680000,158
Saniram Hembrom,0,10th Pass,4747,IND,1090000,0,158
Surae Soren,0,Doctorate,4748,IND,566012,0,158
Tala Hansda,0,8th Pass,4746,IND,1714000,0,158
Vijay Kumar Hansdak,1,5th Pass,4170,JMM,6863306,0,158
Arjun Ram Meghwal,0,Post Graduate,2304,BJP,18142863,1216408,338
Bhanwar Lal,0,10th Pass,2300,BSP,3840000,980000,338
Er. Shankar Pannu,0,Others,2299,INC,56245484,3791491,338
Gauri Shankar,0,Doctorate,2301,AAP,2173200,300000,338
Gopal Balmiki,0,10th Pass,2303,IND,1000,0,338
Jagdish Kumar,0,8th Pass,2305,IND,608500,0,338
Mangilal Nayak,0,Graduate,2298,National Unionist Zamindara Party,1060000,0,338
Ram Ratan,0,8th Pass,2302,Bahujan Mukti Party,477590,0,338
Arjun Singh,0,Post Graduate,9575,Bahujan Mukti Party,933920,8525,465
Badre Alam,0,Graduate Professional,9581,AAP,2127951,0,465
Diwakar Prasad,0,Graduate,9574,IND,4212000,1300000,465
Dr. Mohd. Ayub,9,Post Graduate,9572,Peace Party,314820842,11059140,465
Dr. Satyendra Nath Pandey,0,Doctorate,9571,Aam Janata Party,20477137,0,465
Hamidullah Chaudhary,0,Post Graduate,9238,NCP,4716722,100000,465
Jagdambika Pal,0,Post Graduate,9234,BJP,17822082,4981555,465
Kali Ram,0,Graduate,9584,IND,2220746,0,465
Manoj Kumar,1,Graduate,9580,Suheldev Bhartiya Samaj Party,626000,0,465
Mata Prasad Pandey,0,Post Graduate,9235,SP,16227392,0,465
Muhammad Muqeem,0,Literate,9236,BSP,74056948,33000,465
Mukesh Narayan Shukla Urf Gyanesh Narayan Shukla,0,Graduate,9577,IND,1617000,0,465
Pingle Prasad,0,12th Pass,9578,Swaraj (J),20500,0,465
Ram Ugrah,0,8th Pass,9583,IND,1655000,0,465
Ravi Kumar,0,Graduate,9585,Samyak Parivartan Party,37000,0,465
Santram,0,Literate,9576,Bharatiya Rashtriya Bahujan Samaj Vikas Party,130000,0,465
Vasundhara,0,Graduate,9237,INC,49022328,1189759,465
Arjun Singh Thakur,0,Post Graduate,466,Ambedkarite Party of India,46885000,250000,109
Deepak Karma,0,Graduate,467,INC,3601587,0,109
Devchand Dhruw,0,8th Pass,889,CPI(ML) Red star,371000,52235,109
Dinesh Kashyap,1,Post Graduate,111,BJP,16108199,2191216,109
Manbodh Baghel,0,Graduate Professional,468,BSP,1405000,0,109
Shankar Ram Thakur,0,Graduate,595,SP,12430000,8000,109
Soni Soree,2,12th Pass,888,AAP,195000,250000,109
Vimla Shoree,0,Graduate Professional,887,CPI,1520000,200000,109
Arjun Yadav,0,8th Pass,8311,IND,256000,0,463
Arun Kumar,1,Graduate,8621,IND,2685000,0,463
Atiq Ahmad,42,10th Pass,8313,SP,259378861,0,463
Daddan Mishra,0,Post Graduate,8310,BJP,20065527,228304,463
Lal Ji Verma,0,Post Graduate,8107,BSP,71207500,2175000,463
Praksh Chandra Mishra,0,Graduate,8614,Jan Sevak Party,2860000,0,463
Ram Adhar,0,12th Pass,8312,IND,3772459,292000,463
Ram Sudhi,0,8th Pass,8309,Jan Shakti Ekta Party,537000,0,463
Ratnesh,0,8th Pass,8108,AAP,146000,0,463
Rizwan Zaheer,1,Graduate,8106,Peace Party,18042636,6314619,463
Saxen,0,Graduate,8615,Samyak Parivartan Party,233186,0,463
Tej Bahadur,0,8th Pass,8620,IND,857392,0,463
Vijay Kumar,0,Graduate,8622,IND,1055000,0,463
Vinay Kumar Pandey Vinnu,5,Doctorate,8308,INC,50728313,625524,463
Arjuna Bhatara,0,Graduate,1160,Odisha Jan Morcha,4137000,815000,314
Balabhadra Majhi,0,Graduate,816,BJD,52977088,705404,314
Chandradhwaja Majhi,0,Graduate,817,IND,2028926,0,314
Gopal Pujari,1,10th Pass,1159,Aama Odisha Party,100000,0,314
Gopinath Jani,0,8th Pass,819,BSP,426659,37200,314
Parsuram Majhi,0,Graduate,818,BJP,8274821,61600,314
Pradeep Kumar Majhi,0,Graduate,116,INC,6978000,36000,314
Arjunarao Yegupati,1,5th Pass,8198,CPI(ML)L,620000,21000,23
Chaganti Suryanarayana Murty,0,10th Pass,8197,IND,99344,0,23
Donam Neelakantam,0,Post Graduate,9119,IND,651495,65000,23
