uuid,did,cid,name,cname,designation
922,373,23050,Ajai Vikram Singh,Pipavav Defence & Offshore Engineering Company Ltd,Additional Director
923,374,15783,Ajay Baldawa,Century Plyboards (India) Ltd,Executive Director
924,375,986,Ajay Chandra,Unitech Ltd,Managing Director
925,376,2900,Ajay Chaudhry,Vardhman Polytex Ltd,Director
926,377,25303,Ajay Chopra,Drive India Enterprise Solutions Ltd,Director
927,378,4019,Ajay Deogra,Fedders Lloyd Corporation Ltd,Director
928,379,3392,Ajay Dua,Dabur India Ltd,Director
929,380,412,Ajay G Piramal,Piramal Healthcare Ltd,Chairman
930,381,1754,Ajay G Piramal,Piramal Glass Ltd,Chairman
931,382,5135,Ajay Gupta,Alps Industries Ltd,Company Secretary
932,383,22951,Ajay Gupta,Krishna Knitwear Technology Ltd,Director
933,384,4301,Ajay I Thakore,TTK Prestige Ltd,Director
934,385,5200,Ajay K Ratra,Lakshmi Energy & Foods Ltd,Company Secretary
935,386,395,Ajay Kadhao,Mahindra Ugine Steel Company Ltd,Company Secretary
936,387,14548,Ajay Kaul,Jubilant Foodworks Ltd,Whole Time Director & CEO
937,388,22040,Ajay Khanna,Sistema Shyam Teleservices Ltd,Director
938,389,3673,Ajay Khanna,Shyam Telecom Ltd,Managing Director
939,390,1474,Ajay Krishna,Uflex Ltd,Vice President & CS
940,391,15495,Ajay Krishna Goyal,Angelique International Ltd,Managing Director
941,392,25093,Ajay Kumar,Dharampal Satyapal Ltd,Whole-time Director
942,393,28245,Ajay Kumar Bishnoi,Tecpro Systems Ltd,Chairman & Managing Director
943,394,3243,Ajay Kumar Choudhary,Spentex Industries Ltd,Chairman
